U,V
14911,14268
14911,3242
14911,7864
14911,168
14911,9942
14911,332
14911,13736
4193,13224
4193,11931
4193,19096
4193,18320
4193,17490
4193,5407
4193,16710
4193,17980
4193,14532
4193,3436
4193,15648
4193,7990
4193,9038
4193,17554
4193,10574
4193,11442
4839,607
4839,13651
4839,1009
4839,1395
4839,1519
4839,2554
4839,3918
4839,4145
4839,15477
4839,5630
4839,16483
4839,7372
4839,9850
4839,9964
4839,11101
4839,11716
4839,11932
4839,13066
15648,13224
15648,971
15648,1067
15648,2223
15648,1039
15648,4766
15648,14658
15648,17609
15648,524
15648,14532
15648,10574
15648,11275
15648,11442
15648,19099
5541,6511
5541,19096
5541,6338
5541,18320
5541,17490
5541,3198
5541,5407
5541,10410
5541,13113
5541,13233
5541,5329
5541,8832
5541,9038
5541,17554
5541,10574
5541,15306
5630,18375
5630,11940
5630,9023
5630,3242
5630,17172
5630,9859
5630,16929
5630,13252
5630,1401
5630,15919
5630,9809
5630,1443
5630,15760
5630,15973
5630,332
5630,2410
6338,11538
6338,6511
6338,19096
6338,13233
6338,3198
6338,5329
6338,5407
6338,16094
6338,6829
6338,16710
6338,17490
6338,8832
6338,9038
6338,10410
6338,10574
6338,18320
6338,15306
6338,18446
6829,6511
6829,13372
6829,4776
6829,9038
6829,3884
6829,14997
6829,4382
6829,16404
6829,9452
6829,10574
6829,11716
6829,15544
16710,11538
16710,2248
16710,3911
16710,3845
16710,14048
16710,1313
16710,1409
16710,6414
16710,7706
16710,8453
16710,10410
16710,10574
16710,11442
7864,6922
7864,18164
7864,7817
7864,16425
7864,7659
7864,11067
7864,17654
7864,16339
7864,15568
7864,12568
7864,1023
7864,4497
7864,16900
7864,13611
7864,4096
7864,7372
7864,9370
9038,8363
9038,15188
9038,6575
9038,2833
9038,3918
9038,1371
9038,18320
9038,5329
9038,11995
9038,13372
9038,4776
9038,3180
9038,3884
9038,14997
9038,4382
9038,9828
9038,10574
10574,8363
10574,11260
10574,18320
10574,5407
10574,5329
10574,18446
10574,3436
11442,13224
11442,871
11442,13682
11442,7990
11442,5846
11932,1009
11932,1519
11932,3242
11932,17172
11932,13651
11932,8808
11932,9859
11932,15477
11932,4538
11932,8827
11932,1443
11932,15742
11932,3020
13066,13998
13066,4042
13066,3242
13066,6502
13066,7936
15740,596
15740,16900
15740,664
15740,13553
15740,1189
15740,1953
15740,3826
15740,4600
15740,15363
15740,15914
15740,6603
15740,16200
15740,7372
15740,7756
15740,9023
15740,17447
15740,18625
596,17447
596,5298
596,3242
596,7756
596,9909
596,8259
596,14366
596,6023
596,1301
596,15070
596,15973
16900,17447
16900,4524
16900,9826
16900,16187
16900,11130
16900,6418
16900,16392
16900,1953
16900,8497
16900,156
16900,17185
16900,15760
16900,15878
664,17447
664,13079
664,9023
664,7756
664,736
664,11129
664,1953
664,18016
664,1401
664,15919
13553,17447
13553,3242
13553,7756
13553,13907
13553,8449
13553,1189
13553,759
13553,15973
13553,10297
1189,13079
1189,8808
1189,7708
1189,13907
1189,14041
1189,8449
1189,605
1189,8882
1189,1953
1189,14366
1189,9061
1189,10751
1189,430
1189,2291
1189,2410
1189,15399
1189,16092
1189,9974
1189,17911
1189,11773
1953,17447
1953,14569
1953,9023
1953,86
1953,10413
1953,16392
1953,16760
1953,14041
1953,14986
1953,7807
1953,8826
1953,18089
1953,325
1953,13367
1953,13832
1953,13922
1953,4086
1953,4632
1953,15760
1953,15919
1953,16092
1953,16200
1953,7372
1953,9291
1953,11773
1953,11941
1953,18916
1953,13019
1953,6761
3826,11282
3826,735
3826,6603
4600,6066
4600,2492
4600,7756
15363,17447
15363,7756
15363,12767
15363,14366
15363,15973
15363,10297
15363,2472
15363,11373
15914,17447
15914,3242
15914,7756
15914,14368
6603,2492
6603,13101
6603,735
16200,17447
16200,7756
16200,15973
7372,17447
7372,6155
7372,5213
7372,14947
7372,15741
7372,15116
7372,4530
7372,3892
7372,19098
7372,16392
7372,16760
7372,17194
7372,6281
7372,13367
7756,17447
7756,1972
7756,8435
7756,8834
7756,4521
7756,75
7756,11916
7756,6418
7756,13067
7756,13270
7756,13079
7756,4053
7756,500
7756,15495
7756,1519
7756,10479
7756,8998
7756,14022
7756,396
7756,623
7756,3242
7756,589
7756,13651
7756,736
7756,776
7756,13100
7756,1401
7756,15741
7756,6424
7756,7976
7756,8118
7756,17464
7756,9747
7756,11129
7756,11692
7756,18465
7756,18016
7756,15354
7756,13741
7756,18157
9023,14569
9023,9161
9023,18264
9023,6419
9023,11916
9023,15848
9023,11923
9023,11130
9023,6418
9023,14947
9023,13270
9023,13079
9023,4053
9023,500
9023,86
9023,13371
9023,623
9023,1519
9023,14022
9023,2291
9023,4365
9023,15919
9023,7976
9023,8998
9023,9849
9023,10232
9023,10393
9023,10479
9023,11129
9023,11131
9023,16196
9023,13252
9023,17185
9023,18202
17447,14366
17447,14986
17447,14993
17447,15973
17447,15760
17447,6418
17447,6604
17447,16392
17447,10393
17447,18625
18625,5531
18625,1529
18625,6993
18625,15871
18625,13907
18625,1866
332,3242
332,17172
332,7989
332,13736
332,2410
2410,4524
2410,17172
2410,13736
9418,14146
9418,4247
11101,10936
11101,13736
8475,799
8475,3643
8475,402
8475,5496
8475,17111
8475,12704
8475,2288
8475,5453
8475,16079
8475,6540
8475,9941
8475,17731
8475,12275
8475,7592
607,6419
607,11916
607,11923
607,11130
607,1395
607,6418
607,11139
607,14947
607,5962
607,13367
607,623
607,1004
607,2312
607,3918
607,4365
607,15477
607,15742
607,8118
607,9440
607,9850
607,10232
607,10479
607,11129
607,12964
607,13079
607,13423
607,15793
607,14843
13651,2722
13651,5750
13651,11916
13651,1395
13651,13067
13651,500
13651,1519
13651,13423
13651,396
13651,623
13651,589
13651,736
13651,13100
13651,6424
13651,8118
13651,10296
13651,17870
13651,11692
13651,13741
1009,2491
1009,8739
1009,2856
1009,15642
1009,16060
1009,1519
1009,2226
1009,2245
1009,3242
1009,4254
1009,15477
1009,15820
1009,6608
1009,17464
1009,11139
1009,15264
1009,13067
1395,1451
1395,6419
1395,11916
1395,11923
1395,11130
1395,86
1395,13284
1395,500
1395,570
1395,1004
1395,14022
1395,2312
1395,2536
1395,3434
1395,3783
1395,3918
1395,14986
1395,14947
1395,4042
1395,4365
1395,15854
1395,5962
1395,6408
1395,6418
1395,7274
1395,7744
1395,7976
1395,8118
1395,8998
1395,9439
1395,9849
1395,9850
1395,10232
1395,10461
1395,10479
1395,11129
1395,11131
1395,15264
1395,12002
1395,18908
1395,12964
1395,13270
1395,13423
1395,15189
1395,16196
1395,18641
1395,18490
1395,17185
1395,17078
1395,18206
1519,17761
1519,10893
1519,4521
1519,1768
1519,6419
1519,11916
1519,11923
1519,11130
1519,6418
1519,13067
1519,11139
1519,9439
1519,13079
1519,500
1519,10393
1519,4365
1519,11131
1519,13371
1519,86
1519,396
1519,589
1519,623
1519,736
1519,13100
1519,14022
1519,7976
1519,8118
1519,8998
1519,17464
1519,10232
1519,10296
1519,10479
1519,11129
1519,15264
2554,12964
2554,9122
2554,1252
2554,15116
2554,7306
2554,5243
2554,14405
2554,18694
2554,9668
2554,1468
2554,3622
2554,16487
2554,12767
2554,14679
2554,1692
2554,3125
2554,5124
2554,18791
2554,6392
2554,5055
2554,9702
2554,18342
2554,148
2554,13730
2554,16252
2554,13777
2554,2980
2554,3763
2554,4076
2554,6298
2554,16880
2554,10249
2554,10485
2554,11639
2554,13030
3918,18610
3918,18489
3918,554
3918,15188
3918,548
3918,1673
3918,13079
3918,12964
3918,1004
3918,10232
3918,11129
3918,4530
3918,4247
3918,11995
3918,12002
3918,17077
4145,19098
4145,9964
4145,4404
4145,5152
4145,11399
4145,11716
15477,5962
15477,13423
15477,17172
15477,15245
15477,11693
15477,11980
15477,524
15477,1039
15477,1460
15477,2129
15477,3020
15477,4038
15477,4766
15477,4958
15477,15742
15477,9530
15477,10066
15477,17870
15477,17966
15477,11116
15477,11228
15477,11245
15477,18630
15477,19099
15477,17170
15477,14843
16483,13117
16483,4530
16483,4038
16483,17367
16483,11716
16483,19098
9850,5379
9850,6418
9850,10479
9850,3242
9850,682
9850,8259
9850,16943
9850,10461
9850,13367
9850,4038
9850,623
9850,759
9850,1301
9850,16682
9850,9974
9964,3179
9964,6996
9964,1067
9964,5128
9964,15671
9964,15954
9964,6276
9964,10066
9964,11019
9964,16737
9964,11716
11716,19098
11716,3884
11716,15544
15104,193
193,198
193,4256
14366,13907
14366,597
14366,18240
14366,16760
14366,605
14366,5087
14366,3612
14366,9017
14366,2206
14366,5649
14366,6023
14366,6604
14366,16705
14366,10751
14366,6761
14986,6400
14986,11183
14986,13907
14986,14989
14986,10413
14986,16392
14986,14041
14986,604
14986,6023
14986,10751
14986,18632
14986,11953
14986,18916
14986,605
14993,15495
14993,759
14993,3182
14993,15760
14993,7901
14993,9809
14993,11588
15973,15760
15973,1459
15973,2556
15973,3143
15973,15878
15973,10297
15973,11318
15760,4524
15760,9826
15760,12848
15760,15893
15760,4038
15760,2339
15760,9809
15760,15742
15760,1707
15760,18868
15760,1627
15760,15878
15760,11811
6418,14569
6418,4524
6418,9826
6418,15253
6418,5379
6418,6419
6418,11916
6418,15848
6418,11923
6418,11130
6418,396
6418,623
6418,13100
6418,3242
6418,3360
6418,14947
6418,4365
6418,5336
6418,15741
6418,5923
6418,5962
6418,15913
6418,6424
6418,7976
6418,8118
6418,8497
6418,15495
6418,17464
6418,9809
6418,10232
6418,10461
6418,10479
6418,10965
6418,11129
6418,11131
6418,15264
6418,13079
6418,13423
6418,13741
6604,597
6604,16760
6604,605
6604,3612
6604,9017
6604,2206
6604,16705
6604,5649
6604,13434
6604,11941
6604,16796
6604,1301
6604,16682
16392,11183
16392,13907
16392,682
16392,14989
16392,10413
16392,156
16392,325
16392,604
16392,14041
16392,6422
16392,16682
16392,16760
16392,7932
16392,8215
16392,8826
16392,17281
16392,10751
16392,18632
16392,11953
16392,11941
16392,18916
16392,605
10393,14569
10393,3187
10393,1768
10393,11916
10393,15848
10393,11130
10393,4053
10393,500
10393,396
10393,13371
10393,4042
10393,4632
10393,15741
10393,5729
10393,10479
10393,18641
1887,7271
4871,12626
4871,15943
4871,9569
4871,18628
4871,13636
7898,7424
7898,8327
7898,3957
7898,8006
7898,2205
7898,7147
7898,1716
7898,6529
7898,7691
7898,14521
7898,12758
7898,3921
7898,4713
7898,13386
7898,13585
7898,2134
7898,3477
7898,3856
7898,15232
7898,4847
7898,6077
7898,6578
7898,6918
7898,7270
7898,10571
7898,10733
7898,10893
7898,11381
7898,18628
7898,17094
7898,12912
7898,16491
9735,2491
9735,8657
9735,2963
9735,8739
9735,2856
9735,229
9735,15642
9735,18984
9735,6409
9735,17177
9735,931
9735,17761
9735,16060
9735,5374
9735,10037
9735,8776
9735,16069
9735,1240
9735,14073
9735,14218
9735,3646
9735,3776
9735,15283
9735,5298
9735,15820
9735,9616
15175,4700
15175,17353
16526,14477
16526,5328
16526,11850
16526,9747
17932,10508
17932,16541
17932,3762
17932,15122
17932,4774
17932,7812
17932,7890
17932,9857
17932,10278
17932,10399
17932,11476
17932,12873
10508,6678
10508,15528
10508,14588
10508,3762
10508,7199
16541,1082
3762,6678
3762,11366
3762,2350
3762,4159
3762,18359
15122,17921
15122,17943
15122,1258
15122,14416
15122,5109
15122,15447
15122,10399
15122,11755
15122,13474
4774,6796
4774,17497
4774,6471
4774,18743
4774,17566
4774,14827
7812,5084
7812,19099
7812,17550
7812,4254
7812,11005
7812,11476
7890,9320
7890,14361
7890,12716
7890,15466
7890,14283
7890,9857
7890,10433
7890,10585
10399,17330
10399,5109
10399,14416
10399,3861
10399,11755
10399,19015
10399,13474
11476,4316
11476,13911
11476,14114
11476,950
11476,2698
11476,4748
11476,15865
272,180
272,286
272,289
272,13235
272,13319
272,1237
272,1344
272,1875
272,14357
272,2484
272,2491
272,2883
272,2959
272,3443
272,3567
272,3638
272,4408
272,15628
272,5298
272,16437
272,16574
272,8067
272,8418
272,17084
272,8739
272,17132
272,8828
272,17366
272,9718
272,17761
272,10648
272,10918
272,18127
272,18389
272,12115
272,12122
272,12123
272,18105
180,8418
180,17084
180,12115
286,2959
286,17132
286,2484
286,220
286,289
286,13319
286,382
286,1875
286,1951
286,14218
286,14357
286,2883
286,3567
286,3658
286,4151
286,15628
286,5298
286,6206
286,8418
286,17085
286,8739
286,8828
286,9084
286,9730
286,10064
286,18389
286,12115
286,12123
289,2959
289,17132
289,17366
289,1951
289,1237
289,8418
289,220
289,6206
289,12115
289,3567
289,13319
289,382
289,1875
289,14218
289,14357
289,2883
289,5280
289,17085
289,12120
13235,8067
13235,2959
13235,17132
13235,17366
13235,10648
13235,10918
13235,1237
13235,18127
13235,17084
13235,6206
13235,13319
13235,543
13235,1344
13235,1965
13235,3567
13235,3638
13235,8506
13235,9143
13235,9718
13319,2959
13319,17366
13319,2484
13319,10918
13319,8739
13319,1237
13319,8418
13319,220
13319,17084
13319,12115
13319,3567
13319,60
13319,543
13319,587
13319,13560
13319,1410
13319,1344
13319,14218
13319,14357
13319,2883
13319,3638
13319,4408
13319,15628
13319,16574
13319,16972
13319,8530
13319,17085
13319,8828
13319,9472
13319,9730
13319,18112
13319,11763
1237,8067
1237,2959
1237,17132
1237,2491
1237,17366
1237,10918
1237,1951
1237,543
1237,1344
1237,2243
1237,2883
1237,3567
1237,3638
1237,4408
1237,16009
1237,6206
1237,7235
1237,9718
1237,11763
1344,8067
1344,2959
1344,17132
1344,17366
1344,10648
1344,10918
1344,3567
1344,3638
1344,9143
1344,587
1344,7235
1344,7313
1344,16574
1344,16932
1344,9718
1344,18389
1875,2959
1875,17132
1875,1951
1875,8418
1875,220
1875,6206
1875,12115
1875,11763
1875,17085
1875,12123
1875,2883
1875,14357
1875,15628
1875,18389
14357,17132
14357,1951
14357,8418
14357,220
14357,17084
14357,6206
14357,12115
14357,3567
14357,3638
14357,5298
14357,11763
14357,17085
14357,12123
14357,2883
14357,382
14357,15217
14357,8190
14357,9730
2484,2959
2484,6183
2484,187
2484,13560
2484,14218
2484,14510
2484,3290
2484,15196
2484,15288
2484,16531
2484,15628
2484,5298
2484,6248
2484,16203
2484,16574
2484,7822
2484,8739
2484,17360
2484,17761
2484,18112
2484,12122
2484,12123
2491,8067
2491,229
2491,543
2491,14073
2491,2243
2491,14218
2491,2856
2491,2963
2491,3646
2491,3776
2491,4408
2491,4692
2491,15642
2491,5298
2491,5374
2491,15820
2491,6409
2491,8473
2491,8657
2491,8739
2491,8776
2491,17177
2491,10037
2491,17761
2491,10918
2491,18984
2491,16060
2491,16069
2883,17132
2883,17366
2883,1951
2883,8418
2883,18127
2883,220
2883,6206
2883,12115
2883,3567
2883,11763
2883,17085
2883,382
2883,2940
2883,15217
2959,8067
2959,13560
2959,14218
2959,3567
2959,3638
2959,4408
2959,15628
2959,5298
2959,6183
2959,6206
2959,17085
2959,8739
2959,17132
2959,9050
2959,9143
2959,17366
2959,9718
2959,9730
2959,17761
2959,10648
2959,18112
2959,10918
2959,18127
2959,12115
2959,12122
3443,9143
3443,7235
3443,16203
3443,13560
3443,11117
3567,17132
3567,17366
3567,10648
3567,10918
3567,1951
3567,8418
3567,220
3567,17084
3567,6206
3567,3638
3567,4408
3567,8506
3567,17085
3567,8705
